Galaxy,n_points,log10_rho_s_Msun_kpc3,log10_r_s_kpc,rho_s_Msun_kpc3,r_s_kpc,rss,rms_km_s
UGC04499,9,5.025271326248669,2.2388741656817372,105991.57025870724,173.33017108286626,151.00393801710186,4.096121987347733
UGC05005,11,4.0819787368139195,2.9999999999999414,12077.547016323559,999.999999999865,337.7254308939429,5.540966693587803
UGC05253,73,4.320336273951021,2.9999999999999996,20909.144980364712,999.999999999999,100650.01629951122,37.13175657801078
UGC05414,6,4.1864479329766615,2.9999999999969944,15362.006091175066,999.9999999930793,58.069978398537856,3.111001403582075
UGC05716,12,6.548405139947224,1.0397555466755073,3535127.9721982647,10.958611901028528,20.812260820676354,1.316949151785936
UGC05721,23,7.570232069399305,0.5581398253476408,37173381.5544612,3.6152624080618616,667.7123449449069,5.388039673141223
UGC05750,11,5.126614037659728,1.9228646847293789,133848.6630728297,83.72683696526329,406.62168411344584,6.079934839015702
UGC05764,10,7.400442939432839,0.4737878117337868,25144496.257732105,2.977061536734881,115.58925462860033,3.3998419761600736
UGC05829,11,4.200826285615583,2.9999999999999925,15879.1146942707,999.9999999999826,16.326880925338298,1.218302877901666
UGC05918,8,6.504165788584681,0.8644481551438344,3192756.432754196,7.318939465396426,11.413747501716951,1.1944531961172102
UGC05986,15,6.141932231949504,1.5904897889382195,1386539.4540130985,38.9484150107509,632.6112113801582,6.494157432544826
UGC05999,5,4.7352090625604095,2.5325341126665064,54351.19066460922,340.82709480298246,235.2220412966686,6.858892640895739
UGC06399,9,4.810851972662917,2.635720854618305,64692.207766128726,432.2359195015537,113.41898055863217,3.549944922243038
UGC06446,17,7.049315111569101,0.8149627693084992,11202504.100947356,6.530745642320769,98.48283374712628,2.406887589289956
UGC06614,13,4.249065946164558,2.9999999999999996,17744.58906084116,999.999999999999,10468.514657089308,28.37728595615936
UGC06628,7,4.000000000000056,-1.9999999999999807,10000.000000001288,0.010000000000000444,456.67675861159,8.077099537860907
UGC06667,9,6.354529235863487,1.337551117672068,2262190.820949139,21.754600766706485,120.67331063869558,3.661713482308758
UGC06786,45,5.5424377155249225,2.223786365084676,348688.57327146176,167.41191531858166,10092.633469550496,14.976005601220534
UGC06787,71,4.741267415672903,2.9999999999999893,55114.69592198198,999.9999999999754,101213.82842597654,37.756415073985856
UGC06818,8,4.16215090143104,2.9999999999983604,14526.162608741475,999.9999999962247,957.7592640551769,10.941659289472375
UGC06917,11,5.705527494195871,1.8180139348265918,507606.87344834703,65.76789393848681,161.4812828705603,3.83146403148932
UGC06923,6,4.260534864005954,2.9999999999999623,18219.433279860285,999.999999999913,395.1975822425802,8.11580333097696
UGC06930,10,6.259553225377407,1.3039000357199886,1817829.8283249806,20.13260791684479,171.93353688312996,4.146486909217608
UGC06973,9,4.000004645679152,-1.999996833051457,10000.106971287752,0.010000072921950933,70308.25588689763,88.38568001592517
UGC06983,17,6.645800021816574,1.136628737534469,4423846.2203186285,13.697103502632089,444.367223493267,5.112655713108444
UGC07089,12,4.03598903897904,2.999999999998989,10863.982040106606,999.9999999976717,243.96932466641277,4.50896629567514
UGC07125,13,5.052264449616446,1.777599311016178,112788.40357223513,59.92379519253439,103.66832774790335,2.8239133750592846
UGC07151,11,6.051730338534458,1.3594299703287644,1126497.7756995773,22.878627656127208,96.56474202266149,2.9628724088544627
UGC07232,4,4.494227552518254,2.9999999999999165,31205.241826690217,999.9999999998078,88.71710877431057,4.709487996967148
UGC07261,7,6.635944142886966,0.9737185198958486,4324582.065189029,9.41279325626165,54.79418860258748,2.7978100773535486
UGC07323,10,4.110242542078027,2.999999999999919,12889.692062165905,999.9999999998139,174.69617982850707,4.179667209581488
UGC07399,10,7.202363132576841,0.8963737501840956,15935405.990214024,7.877234062261432,75.17968413872562,2.7418913935224642
UGC07524,31,6.0585500952280755,1.3652246569305178,1144326.86862135,23.1859372909489,288.2377006590367,3.0492606224853747
UGC07559,7,4.000000000000001,2.8484512400383872,10000.00000000002,705.4256386739207,40.038562211879416,2.39160920756236
UGC07577,9,4.000000000460343,-1.9999999999213018,10000.000010599786,0.010000000001812092,27.84138512113131,1.7588312129596906
